player,position,team,age,club,birth_year,description,image
Dayot Upamecano,DF,France,24,Bayern Munich,1998,Dayot Upamecano is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/a660efd2-8a90-436b-a829-b8393cd02a3a/1442233458?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
DeAndre Yedlin,DF,United States,29,Inter Miami,1993,DeAndre Yedlin is a versatile player known for his ability to play in various positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Declan Rice,MF,England,23,West Ham,1999,Declan Rice is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,"https://digitalhub.fifa.com/transform/cda257d1-50e4-4ab7-9e88-17c0670abfc2/1441944538?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Dejan Lovren,DF,Croatia,33,Zenit,1989,Dejan Lovren is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/8e3af8ba-f57b-4acc-8b9a-65eecb9386b1/1442834061?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Denis Odoi,DF,Ghana,34,Club Brugge,1988,Denis Odoi is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Denis Zakaria,MF,Switzerland,26,Chelsea,1996,"Denis Zakaria is a midfielder known for his defensive skills and ball-winning abilities. He contributes to both defense and attack, providing stability in midfield.",
Denzel Dumfries,DF,Netherlands,26,Inter,1996,"Denzel Dumfries is a right-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/b253b3e2-21c6-4778-9d8c-1d2932608b78/1442168943?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Devis Epassy,GK,Cameroon,29,Abha,1993,Devis Epassy is a footballer known for his technical skills and creativity in the attack. He contributes to his team's offensive movements with his flair and playmaking abilities.,"https://digitalhub.fifa.com/transform/39872d74-53c8-4185-960d-6437599682aa/1443091973?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Diego Godín,DF,Uruguay,36,Vélez Sarsf,1986,Diego Godín is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/42f06674-737f-4da3-9563-7115f66d47f9/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Diogo Costa,GK,Portugal,23,Porto,1999,Diogo Costa is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/b0e508bd-f26e-469c-9cb7-1bf875b9033e/1442846689?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Diogo Dalot,DF,Portugal,23,Manchester Utd,1999,Diogo Dalot is a versatile player known for his ability to play in various positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/97c144d8-c021-43ae-a796-0ad5e9e1b7e8/1442847847?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Djibril Sow,MF,Switzerland,25,Eint Frankfurt,1997,Djibril Sow is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,
Djorkaeff Reasco,FW,Ecuador,23,Newell's OB,1999,"Djorkaeff Reasco is a footballer known for his technical skills and versatility in attack. He can operate in various positions, contributing to his team's offensive movements.",
Dominik Livaković,GK,Croatia,27,Dinamo Zagreb,1995,Dominik Livaković is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/344c53dd-7109-4a01-b75a-b1956af683ce/1442833831?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Dries Mertens,MF,Belgium,35,Galatasaray,1987,"Dries Mertens is a versatile forward known for his technical skills and creativity. He can operate in various attacking positions, contributing to his team's offensive movements.","https://digitalhub.fifa.com/transform/73310c7b-31ea-4161-8353-8dfeb45f372a/1442831124?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Dušan Tadić,MF,Serbia,34,Ajax,1988,"Dušan Tadić is a versatile player known for his technical skills and playmaking abilities. He contributes to both offensive and defensive phases, making him a key player for his club and the national team.","https://digitalhub.fifa.com/transform/d6f6b0ce-15ab-4388-8787-2a1a99fb6c0e/1443089559?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Dušan Vlahović,FW,Serbia,22,Juventus,2000,Dušan Vlahović is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/22d80dfd-6d37-48af-b773-1dd9e84bb3a3/1443089493?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Dylan Bronn,DF,Tunisia,27,Salernitana,1995,Dylan Bronn is a defender known for his defensive skills and ability to read the game. He provides stability to the backline and contributes to defensive solidity.,
Eden Hazard,MF,Belgium,31,Real Madrid,1991,"Eden Hazard is a winger known for his incredible dribbling ability, creativity, and flair. He's capable of changing the course of a game with his individual brilliance.","https://digitalhub.fifa.com/transform/f2c177b8-0919-4b6d-8494-e0c74d235b2c/1442831074?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Éder Militão,DF,Brazil,24,Real Madrid,1998,"Éder Militão is a central defender known for his defensive attributes, aerial dominance, and versatility. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/01e1c7e3-ae46-4eca-9409-1afe1619b77b/1443021700?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Edimilson Fernandes,FW,Switzerland,26,Mainz 05,1996,Edimilson Fernandes is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,
Edinson Cavani,FW,Uruguay,35,Valencia,1987,"Edinson Cavani is a forward known for his goal-scoring prowess, aerial ability, and movement in the box. He has showcased his skills in various leagues and competitions.","https://digitalhub.fifa.com/transform/4ec8a736-ad71-44eb-8f55-8f51b33dc3d0/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Edouard Mendy,GK,Senegal,30,Chelsea,1992,Edouard Mendy is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/72aa7abf-78de-470c-b971-89de83eaebfc/1442260422?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Edson Álvarez,MF,Mexico,25,Ajax,1997,Edson Álvarez is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Eduardo Camavinga,DF,France,20,Real Madrid,2002,Eduardo Camavinga is a young midfielder known for his technical skills and ability to control the midfield. He contributes to ball circulation and defensive stability.,"https://digitalhub.fifa.com/transform/03a3a1cb-f2e4-4ddb-9779-13a9632526da/1442233249?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ehsan Hajsafi,MF,IR Iran,32,AEK Athens,1990,Ehsan Hajsafi is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Ellyes Skhiri,MF,Tunisia,27,Köln,1995,Ellyes Skhiri is a midfielder known for his defensive skills and ball-winning abilities. He provides stability to the midfield and contributes to both defense and attack.,
Ángel Di María,FW,Argentina,34,Juventus,1988,"Ángel Di María is a winger known for his dribbling ability, creativity, and playmaking skills. He contributes to both offense and playmaking.","https://digitalhub.fifa.com/transform/1ced2af1-6b06-4896-ba4b-111c9de737e9/1442742357?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Enner Valencia,FW,Ecuador,33,Fenerbahçe,1989,Enner Valencia is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/e9817141-9985-4b8a-818e-3a06260d7a8c/1442153993?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Enzo Ebosse,DF,Cameroon,23,Udinese,1999,Enzo Ebosse is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/84739644-3ead-4868-9298-dfd0408d0ac4/1443092573?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Cristian Romero,DF,Argentina,24,Tottenham,1998,Cristian Romero is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/10db8803-6d59-4a4b-909d-4cb0b297f904/1442742592?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Eray Cömert,DF,Switzerland,24,Valencia,1998,Eray Cömert is a defender known for his defensive skills and ability to read the game. He provides stability to the backline and contributes to defensive solidity.,
Eric Dier,DF,England,28,Tottenham,1994,Eric Dier is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/fbe7b081-b55e-44c8-ab9c-3c8410c4762b/1441944369?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Eric Maxim Choupo-Moting,FW,Cameroon,33,Bayern Munich,1989,Eric Maxim Choupo-Moting is a forward known for his physical presence and aerial ability. He contributes to his team's attacking play and provides a target for crosses and set pieces.,"https://digitalhub.fifa.com/transform/651d5872-995c-457a-8c6d-6be7d7f6b44f/Eric-Maxim-Choupo-Moting?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Erick Gutiérrez,MF,Mexico,27,PSV Eindhoven,1995,Erick Gutiérrez is a midfielder known for his passing accuracy and playmaking abilities. He contributes to both ball circulation and creating scoring opportunities.,
Ethan Ampadu,MF,Wales,22,Spezia,2000,Ethan Ampadu is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Ederson,GK,Brazil,29,Manchester City,1993,Ederson is a goalkeeper known for his exceptional shot-stopping abilities and accurate distribution. He plays a crucial role in starting attacks from the backline.,"https://digitalhub.fifa.com/transform/eabd9fa0-3641-48c7-afbe-21220c7a69d0/1443021430?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Emiliano Martínez,GK,Argentina,30,Aston Villa,1992,Emiliano Martínez is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/ec57583f-85ed-4b6e-b619-8ec94de13b8f/1442740128?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Fabian Frei,MF,Switzerland,33,Basel,1989,Fabian Frei is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and is capable of creating scoring opportunities.,
Fabian Rieder,FW,Switzerland,20,Young Boys,2002,Fabian Rieder is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Fabian Schr,DF,Switzerland,30,Newcastle Utd,1991,Fabian Schär is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Everton Ribeiro,MF,Brazil,33,Flamengo,1989,Everton Ribeiro is a midfielder known for his technical skills and creativity. He can dictate the tempo of the game and create scoring opportunities for his team.,"https://digitalhub.fifa.com/transform/6bf99a03-42db-4938-b6fd-73a254e95f36/1443023468?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Facundo Pellistri,MF,Uruguay,20,Manchester Utd,2001,Facundo Pellistri is a versatile forward known for his technical skills and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/65d4b97d-3a91-486a-94f2-89cc840d3919/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Famara Diedhiou,FW,Senegal,30,Alanyaspor,1992,Famara Diedhiou is a forward known for his goal-scoring abilities and physical presence. He has showcased his skills in various leagues and competitions.,
Federico Valverde,MF,Uruguay,24,Real Madrid,1998,Federico Valverde is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,"https://digitalhub.fifa.com/transform/8981ad23-7f91-42a7-a1ae-81659ab80e81/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ferjani Sassi,MF,Tunisia,30,Al Duhail SC,1992,Ferjani Sassi is a midfielder known for his passing accuracy and tactical intelligence. He contributes to ball circulation and creating scoring opportunities.,
Ferrán Torres,FW,Spain,22,Barcelona,2000,"Ferrán Torres is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/405abbab-5e5d-4277-905f-6bbdf618bad5/1442551768?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Filip Kostić,DF,Serbia,30,Juventus,1992,Filip Kostić is a winger known for his speed and crossing ability. He contributes to his team's offensive movements with his accurate deliveries and attacking flair.,"https://digitalhub.fifa.com/transform/c3efea69-852f-4ebc-b104-bad587aeb027/1443091702?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Filip Mladenović,DF,Serbia,31,Legia Warsaw,1991,Filip Mladenović is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Filip Đuričić,MF,Serbia,30,Sampdoria,1992,Filip Đuričić is a midfielder known for his technical skills and creativity. He can dictate the tempo of the game and create scoring opportunities for his team.,
Firas Al-Buraikan,MF,Saudi Arabia,22,Al-Fateh,2000,Firas Al-Buraikan is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Fodé Ballo-Touré,DF,Senegal,25,Milan,1997,"Fodé Ballo-Touré is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Fran Karačić,DF,Australia,26,Brescia,1996,Fran Karačić is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/83f5aa2c-800c-44c5-9194-8a50531bbfcb/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Francisco Calvo,DF,Costa Rica,30,Konyaspor,1992,Francisco Calvo is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Fabinho,MF,Brazil,29,Liverpool,1993,Fabinho is a midfielder known for his defensive skills and ball-winning abilities. He provides stability to the midfield and contributes to both defense and attack.,"https://digitalhub.fifa.com/transform/456fc1be-6aca-48bd-8f39-a9061e360470/1443022099?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Frenkie de Jong,MF,Netherlands,25,Barcelona,1997,"Frenkie de Jong is a midfielder known for his technical skills, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and defensive stability.","https://digitalhub.fifa.com/transform/3de020e7-94dc-4126-b02c-8099154e9d75/1442168774?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Félix Torres Caicedo,DF,Ecuador,25,Santos,1997,Félix Torres Caicedo is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Fred,MF,Brazil,29,Manchester Utd,1993,Fred is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,"https://digitalhub.fifa.com/transform/c3ebc1c0-29c7-4d2d-826e-4bf2748a3ac8/1443022121?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Garang Kuol,FW,Australia,18,Central Coast,2004,Garang Kuol is a forward known for his goal-scoring abilities and speed. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/f9d1ba76-fd8b-4c99-9b65-d89693f1374b/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gareth Bale,FW,Wales,33,Los Angeles FC,1989,"Gareth Bale is a winger known for his incredible speed, dribbling ability, and powerful shots. He's capable of creating game-changing moments with his individual brilliance.","https://digitalhub.fifa.com/transform/2a99b7d0-56ee-4fd5-850c-212952fb2efd/1441998337?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gavi,MF,Spain,18,Barcelona,2004,Gavi is a young midfielder known for his technical skills and ability to control the midfield. He contributes to ball circulation and is seen as a promising talent for the future.,"https://digitalhub.fifa.com/transform/3accf767-b78f-4bf4-87f8-25ab808366c4/1442551912?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gaël Ondoua,MF,Cameroon,27,Hannover 96,1995,Gaël Ondoua is a midfielder known for his passing accuracy and tactical intelligence. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/d72e7fd5-5ddc-498a-807f-03f100e1ab67/1443093727?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Georges-Kévin N'Koudou,FW,Cameroon,27,Beşiktaş,1995,Georges-Kévin N'Koudou is a winger known for his speed and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/0f7e5f32-627e-47d3-8ca8-2d7873a85f84/1443093506?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Enzo Fernández,MF,Argentina,21,Benfica,2001,Enzo Fernández is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/15281e95-c206-4287-a572-c52d523e188c/1442743507?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gerson Torres,MF,Costa Rica,25,Club Sport Herediano,1997,Gerson Torres is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and is capable of creating scoring opportunities.,
Ghaylène Chaalali,MF,Tunisia,28,Espérance de Tunis,1994,Ghaylène Chaalali is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,
Gideon Mensah,DF,Ghana,24,Auxerre,1998,Gideon Mensah is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Gio Reyna,FW,United States,20,Dortmund,2002,"Gio Reyna is a versatile forward known for his technical skills and creativity. He can operate in various attacking positions, contributing to his team's offensive movements.","https://digitalhub.fifa.com/transform/acf97fce-4833-4853-94e9-e4e3ec167ec2/1441723620?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Giorgian De Arrascaeta,MF,Uruguay,28,Flamengo,1994,"Giorgian De Arrascaeta is a midfielder known for his technical skills, creativity, and playmaking abilities. He contributes to both ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/29d16cfe-87de-4565-a8fc-6b67898ea5c2/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gabriel Jesus,FW,Brazil,25,Arsenal,1997,Gabriel Jesus is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/a3fba875-a9c9-4d5b-aa92-ff7319d1177a/1443021717?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Exequiel Palacios,MF,Argentina,24,Leverkusen,1998,Exequiel Palacios is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,"https://digitalhub.fifa.com/transform/79db6a3d-02a5-470e-9b36-7828d5b2d02c/1442742805?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gonzalo Plata,MF,Ecuador,22,Valladolid,2000,Gonzalo Plata is a winger known for his speed and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,
Gonçalo Ramos,FW,Portugal,21,Benfica,2001,Gonçalo Ramos is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/44eba325-19a0-437f-9b73-b626db593dba/1442848722?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Granit Xhaka,MF,Switzerland,30,Arsenal,1992,Granit Xhaka is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and is capable of creating scoring opportunities.,"https://digitalhub.fifa.com/transform/6e96ca24-1db5-420a-ae84-2c3fec06e475/1441890746?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gregor Kobel,GK,Switzerland,25,Dortmund,1997,Gregor Kobel is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/1b8436f2-6db9-4fb0-877d-e3a908356eb8/1441890332?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Grzegorz Krychowiak,MF,Poland,32,Al-Shabab,1990,Grzegorz Krychowiak is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and defensive stability.,"https://digitalhub.fifa.com/transform/2cd38eae-9e40-42b6-975c-ed280ff22b98/1442524550?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Germán Pezzella,DF,Argentina,31,Betis,1991,Germán Pezzella is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/57c8d393-5328-40ab-a5f2-59efd1a042df/1442742197?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Guillermo Ochoa,GK,Mexico,37,América,1985,Guillermo Ochoa is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/c334c4ea-5ba3-4c34-ab21-219a5f9a304d/1442569806?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Guillermo Varela,DF,Uruguay,29,Flamengo,1993,Guillermo Varela is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/eb452350-a1ef-4bfa-a590-c2fb57005784/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Haji Wright,FW,United States,24,Antalyaspor,1998,Haji Wright is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Abdessamad Ezzalzouli,FW,Morocco,21,Osasuna,2001,"Abdessamad Ezzalzouli is a Moroccan midfielder known for his technical skills and creative flair on the field. He has the ability to control the tempo of the game and create scoring opportunities for his team. Ezzalzouli's vision, passing accuracy, and dribbling make him a valuable asset in midfield, and he has represented his country at various levels of international play.","https://digitalhub.fifa.com/transform/6b36588e-97af-4154-9347-c8ec11c7d5f9/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Hannibal Mejbri,MF,Tunisia,19,Birmingham City,2003,Hannibal Mejbri is a young midfielder known for his technical skills and ability to control the midfield. He contributes to ball circulation and is seen as a promising talent for the future.,
Haris Seferović,FW,Switzerland,30,Galatasaray,1992,Haris Seferović is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Harry Kane,FW,England,29,Tottenham,1993,"Harry Kane is a forward known for his goal-scoring prowess, positioning, and ability to lead the attacking line. He has a keen eye for goal and has consistently delivered for both club and country.","https://digitalhub.fifa.com/transform/7d57e471-4f7f-47b2-a4f7-2facbd8ac9ff/1441945685?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Harry Maguire,DF,England,29,Manchester Utd,1993,Harry Maguire is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/a47f0cea-7b52-4bbf-98f3-00baa2ba5b76/1441945256?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Harry Souttar,DF,Australia,24,Stoke City,1998,Harry Souttar is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/7993a198-b847-4028-a71b-99689d7d1f97/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Harry Wilson,MF,Wales,25,Fulham,1997,"Harry Wilson is a winger known for his set-piece expertise, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.",
Hassan Al Tambakti,DF,Saudi Arabia,23,Al-Shabab,1999,Hassan Al Tambakti is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Hassan Al-Haydos,MF,Qatar,32,Al Sadd SC,1990,"Hassan Al-Haydos is a winger known for his technical skills, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/9b187094-1cdc-428e-9bac-931aab584672/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Hattan Bahebri,MF,Saudi Arabia,30,Al-Shabab,1992,Hattan Bahebri is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Henry Martín,FW,Mexico,30,América,1992,Henry Martín is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Hernán Galíndez,GK,Ecuador,35,SD Aucas,1987,Hernán Galíndez is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,
Hidemasa Morita,MF,Japan,27,Sporting CP,1995,Hidemasa Morita is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Hiroki Ito,DF,Japan,23,Stuttgart,1999,Hiroki Ito is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Hiroki Sakai,MF,Japan,32,Urawa Reds,1990,"Hiroki Sakai is a right-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Hirving Lozano,FW,Mexico,27,Napoli,1995,"Hirving Lozano is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.",
Homam Ahmed,DF,Qatar,23,Al-Gharafa Sports Club,1999,Homam Ahmed is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/b8d905bd-739c-4615-a3e2-22b51f5ce610/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Hong Chul,DF,Korea Republic,32,Daegu,1990,Hong Chul is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Hossein Hosseini,GK,IR Iran,30,Esteghlal,1992,Hossein Hosseini is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Hossein Kanaanizadegan,DF,IR Iran,28,Al Ahli SC,1994,Hossein Kanaanizadegan is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Hugo Lloris,GK,France,35,Tottenham,1986,Hugo Lloris is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/14a6f35e-6853-4bbc-bcc7-eb7b4774f226/1442232958?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Hwang Hee-chan,MF,Korea Republic,26,Wolves,1996,Hwang Hee-chan is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Hwang In-beom,MF,Korea Republic,26,Olympiacos,1996,Hwang In-beom is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
